         165190 function calls (158580 primitive calls) in 2.098 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.018    0.018    2.098    2.098 profile_with_cprofile.py:16(run_generation)
       51    0.001    0.000    1.197    0.023 generate.py:646(stream_generate)
       51    0.000    0.000    1.068    0.021 generate.py:694(<genexpr>)
       51    0.973    0.019    1.068    0.021 generate.py:303(generate_step)
        1    0.000    0.000    0.884    0.884 utils.py:441(load)
        1    0.008    0.008    0.742    0.742 utils.py:417(load_tokenizer)
        1    0.003    0.003    0.733    0.733 tokenizer_utils.py:498(load)
        1    0.000    0.000    0.569    0.569 tokenization_auto.py:540(from_pretrained)
        1    0.015    0.015    0.566    0.566 tokenization_utils_base.py:1473(from_pretrained)
        1    0.000    0.000    0.551    0.551 tokenization_utils_base.py:1735(_from_pretrained)
        1    0.000    0.000    0.244    0.244 tokenization_utils_tokenizers.py:293(__init__)
        7    0.001    0.000    0.240    0.034 __init__.py:278(load)
  1749/12    0.000    0.000    0.229    0.019 copy.py:110(deepcopy)
        1    0.000    0.000    0.188    0.188 tokenization_utils_tokenizers.py:101(convert_to_native_format)
        1    0.188    0.188    0.188    0.188 {built-in method from_file}
    40/39    0.000    0.000    0.184    0.005 copy.py:228(_reconstruct)
        1    0.183    0.183    0.183    0.183 {method '__setstate__' of 'tokenizers.Tokenizer' objects}
        8    0.000    0.000    0.160    0.020 __init__.py:304(loads)
        8    0.000    0.000    0.160    0.020 decoder.py:340(decode)
        8    0.159    0.020    0.159    0.020 decoder.py:351(raw_decode)
        1    0.126    0.126    0.142    0.142 utils.py:270(load_model)
        3    0.000    0.000    0.121    0.040 tokenization_utils_tokenizers.py:570(get_vocab)
        3    0.121    0.040    0.121    0.040 {method 'get_vocab' of 'tokenizers.Tokenizer' objects}
       52    0.000    0.000    0.095    0.002 generate.py:384(_model_call)
       52    0.000    0.000    0.095    0.002 qwen3_5.py:367(__call__)
       52    0.000    0.000    0.094    0.002 qwen3_5.py:280(__call__)
       51    0.001    0.000    0.094    0.002 generate.py:392(_step)
       52    0.001    0.000    0.094    0.002 qwen3_5.py:247(__call__)
     1248    0.005    0.000    0.092    0.000 qwen3_5.py:221(__call__)
        1    0.000    0.000    0.089    0.089 tokenizer_utils.py:372(detokenizer)
        1    0.007    0.007    0.089    0.089 tokenizer_utils.py:165(__init__)
  760/756    0.000    0.000    0.082    0.000 {built-in method builtins.getattr}
       56    0.000    0.000    0.081    0.001 tokenizer_utils.py:379(__getattr__)
        2    0.000    0.000    0.081    0.041 tokenization_utils_tokenizers.py:573(vocab)
       12    0.060    0.005    0.080    0.007 {method 'read' of '_io.TextIOWrapper' objects}
      936    0.020    0.000    0.060    0.000 qwen3_5.py:132(__call__)
       40    0.045    0.001    0.045    0.001 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.040    0.040 tokenizer_utils.py:263(__init__)
      607    0.000    0.000    0.036    0.000 {built-in method builtins.next}
        2    0.036    0.018    0.036    0.018 generate.py:225(wired_limit)
        1    0.000    0.000    0.027    0.027 contextlib.py:136(__enter__)
      936    0.004    0.000    0.024    0.000 gated_delta.py:260(gated_delta_update)
       12    0.000    0.000    0.020    0.002 <frozen codecs>:322(decode)
       12    0.020    0.002    0.020    0.002 {built-in method _codecs.utf_8_decode}
      936    0.019    0.000    0.019    0.000 gated_delta.py:171(gated_delta_kernel)
        1    0.015    0.015    0.015    0.015 {method 'get_vocab_size' of 'tokenizers.Tokenizer' objects}
     9672    0.013    0.000    0.013    0.000 linear.py:66(__call__)
      312    0.005    0.000    0.012    0.000 qwen3_next.py:121(__call__)
     1248    0.004    0.000    0.011    0.000 qwen3_next.py:168(__call__)
        1    0.000    0.000    0.009    0.009 contextlib.py:145(__exit__)
    22661    0.006    0.000    0.009    0.000 base.py:99(__getattr__)
        1    0.000    0.000    0.006    0.006 qwen3_5.py:361(__init__)
        6    0.000    0.000    0.005    0.001 __init__.py:71(import_module)
      7/6    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1386(_gcd_import)
     12/6    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1360(_find_and_load)
     10/4    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     10/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:914(_load_unlocked)
     10/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:753(exec_module)
     21/9    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
     13/5    0.001    0.000    0.004    0.001 {built-in method builtins.exec}
      936    0.003    0.000    0.004    0.000 qwen3_next.py:71(__call__)
       53    0.000    0.000    0.003    0.000 inspect.py:3319(signature)
      312    0.003    0.000    0.003    0.000 cache.py:331(update_and_fetch)
       53    0.000    0.000    0.003    0.000 inspect.py:3032(from_callable)
   159/53    0.000    0.000    0.003    0.000 inspect.py:2413(_signature_from_callable)
        1    0.000    0.000    0.003    0.003 base.py:123(load_weights)
        2    0.000    0.000    0.003    0.002 base.py:13(from_dict)
    24718    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 configuration_auto.py:1342(from_pretrained)
        1    0.000    0.000    0.003    0.003 utils.py:163(_get_classes)
        1    0.000    0.000    0.003    0.003 qwen3_5.py:272(__init__)
        1    0.000    0.000    0.003    0.003 qwen3_5.py:237(__init__)
       24    0.000    0.000    0.003    0.000 qwen3_5.py:203(__init__)
        1    0.000    0.000    0.003    0.003 qwen3_5.py:1(<module>)
     3172    0.002    0.000    0.002    0.000 normalization.py:142(__call__)
       53    0.001    0.000    0.002    0.000 inspect.py:2307(_signature_from_function)
      936    0.002    0.000    0.002    0.000 convolution.py:76(__call__)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1414(dataclass)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1431(wrap)
        3    0.000    0.000    0.002    0.001 dataclasses.py:986(_process_class)
    680/1    0.001    0.000    0.002    0.002 utils.py:193(tree_unflatten)
      367    0.000    0.000    0.002    0.000 base.py:245(filter_and_map)
        1    0.000    0.000    0.002    0.002 base.py:590(eval)
        1    0.000    0.000    0.002    0.002 base.py:572(train)
        1    0.000    0.000    0.002    0.002 base.py:412(apply_to_modules)
 1735/343    0.001    0.000    0.001    0.000 base.py:649(_unwrap)
     2188    0.001    0.000    0.001    0.000 base.py:105(__setattr__)
       18    0.000    0.000    0.001    0.000 qwen3_5.py:87(__init__)
        1    0.000    0.000    0.001    0.001 configuration_auto.py:1156(__getitem__)
      186    0.001    0.000    0.001    0.000 linear.py:48(__init__)
        2    0.000    0.000    0.001    0.001 base.py:280(parameters)
        1    0.000    0.000    0.001    0.001 qwen3_next.py:1(<module>)
        1    0.000    0.000    0.001    0.001 configuration_utils.py:680(from_dict)
    21526    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
 1416/366    0.001    0.000    0.001    0.000 utils.py:117(tree_flatten)
        1    0.000    0.000    0.001    0.001 tokenization_utils_base.py:2209(encode)
        1    0.000    0.000    0.001    0.001 tokenization_utils_tokenizers.py:822(_encode_plus)
        1    0.000    0.000    0.001    0.001 configuration_utils.py:826(__repr__)
        1    0.000    0.000    0.001    0.001 configuration_utils.py:925(to_json_string)
      624    0.001    0.000    0.001    0.000 positional_encoding.py:46(__call__)
        1    0.001    0.001    0.001    0.001 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
     1095    0.001    0.000    0.001    0.000 inspect.py:2680(__init__)
        1    0.000    0.000    0.001    0.001 configuration_utils.py:832(to_diff_dict)
        2    0.000    0.000    0.001    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 import_utils.py:2790(define_import_structure)
1413/1411    0.000    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 import_utils.py:2465(create_import_structure_from_path)
       50    0.000    0.000    0.001    0.000 tokenizer_utils.py:206(add_token)
        3    0.000    0.000    0.001    0.000 dataclasses.py:478(add_fns_to_class)
      106    0.000    0.000    0.001    0.000 inspect.py:2972(__init__)
        1    0.000    0.000    0.001    0.001 qwen3_5.py:377(sanitize)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:826(get_code)
    81/11    0.000    0.000    0.001    0.000 copy.py:198(_deepcopy_dict)
       24    0.000    0.000    0.001    0.000 qwen3_next.py:162(__init__)
      9/5    0.000    0.000    0.001    0.000 configuration_utils.py:891(to_dict)
      365    0.000    0.000    0.001    0.000 base.py:290(children)
       53    0.000    0.000    0.001    0.000 inspect.py:2031(_signature_bound_method)
        3    0.000    0.000    0.000    0.000 import_utils.py:2423(fetch__all__)
      312    0.000    0.000    0.000    0.000 base.py:108(scaled_dot_product_attention)
       53    0.000    0.000    0.000    0.000 inspect.py:3050(replace)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:300(sanitize)
      367    0.000    0.000    0.000    0.000 base.py:61(__init__)
        1    0.000    0.000    0.000    0.000 qwen3_5.py:353(from_dict)
    686/1    0.000    0.000    0.000    0.000 utils.py:243(tree_reduce)
        1    0.000    0.000    0.000    0.000 tokenization_utils_base.py:987(__init__)
       50    0.000    0.000    0.000    0.000 tokenizer_utils.py:185(_decode_bytes)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
     1370    0.000    0.000    0.000    0.000 base.py:234(valid_parameter_filter)
        9    0.000    0.000    0.000    0.000 configuration_utils.py:166(__init__)
        2    0.000    0.000    0.000    0.000 configuration_qwen3_5.py:280(__init__)
        6    0.000    0.000    0.000    0.000 qwen3_next.py:82(__init__)
     2790    0.000    0.000    0.000    0.000 cache.py:607(__getitem__)
      159    0.000    0.000    0.000    0.000 inspect.py:1910(_signature_get_user_defined_method)
     1872    0.000    0.000    0.000    0.000 cache.py:604(__setitem__)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:556(get_config_dict)
       93    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
       12    0.000    0.000    0.000    0.000 {built-in method _io.open}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:947(get_data)
        1    0.000    0.000    0.000    0.000 configuration_utils.py:589(_get_config_dict)
       10    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 tokenization_utils_tokenizers.py:1223(_patch_mistral_regex)
      365    0.000    0.000    0.000    0.000 base.py:586(<lambda>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
     6137    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:330(_compile)
     4187    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       52    0.000    0.000    0.000    0.000 base.py:45(create_attention_mask)
       58    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
       61    0.000    0.000    0.000    0.000 normalization.py:134(__init__)
       10    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      362    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      365    0.000    0.000    0.000    0.000 base.py:569(_set_training_mode)
     1098    0.000    0.000    0.000    0.000 enum.py:677(__call__)
        3    0.000    0.000    0.000    0.000 _compiler.py:757(compile)
        2    0.000    0.000    0.000    0.000 configuration_utils.py:1201(recursive_diff_dict)
        3    0.000    0.000    0.000    0.000 configuration_qwen3_5.py:131(__init__)
       52    0.000    0.000    0.000    0.000 embedding.py:31(__call__)
  343/308    0.000    0.000    0.000    0.000 configuration_utils.py:156(__setattr__)
        1    0.000    0.000    0.000    0.000 import_utils.py:2067(__getattr__)
        1    0.000    0.000    0.000    0.000 glob.py:16(glob)
        1    0.000    0.000    0.000    0.000 import_utils.py:2286(_get_module)
        2    0.000    0.000    0.000    0.000 glob.py:69(_iglob)
        1    0.000    0.000    0.000    0.000 base.py:304(update)
