         558378 function calls (525617 primitive calls) in 7.973 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.006    0.006    7.973    7.973 profile_35b_with_cprofile.py:16(run_generation)
        1    0.000    0.000    5.584    5.584 utils.py:441(load)
        1    4.659    4.659    4.722    4.722 utils.py:270(load_model)
       51    0.001    0.000    2.383    0.047 generate.py:646(stream_generate)
       51    0.000    0.000    2.279    0.045 generate.py:694(<genexpr>)
       51    2.162    0.042    2.279    0.045 generate.py:303(generate_step)
        1    0.009    0.009    0.862    0.862 utils.py:417(load_tokenizer)
        1    0.003    0.003    0.853    0.853 tokenizer_utils.py:498(load)
        1    0.000    0.000    0.647    0.647 tokenization_auto.py:540(from_pretrained)
        1    0.017    0.017    0.641    0.641 tokenization_utils_base.py:1473(from_pretrained)
        1    0.000    0.000    0.624    0.624 tokenization_utils_base.py:1735(_from_pretrained)
        7    0.001    0.000    0.288    0.041 __init__.py:278(load)
        1    0.000    0.000    0.267    0.267 tokenization_utils_tokenizers.py:293(__init__)
  2827/12    0.000    0.000    0.250    0.021 copy.py:110(deepcopy)
        1    0.000    0.000    0.225    0.225 tokenization_utils_tokenizers.py:101(convert_to_native_format)
        1    0.225    0.225    0.225    0.225 {built-in method from_file}
    40/39    0.000    0.000    0.200    0.005 copy.py:228(_reconstruct)
        1    0.200    0.200    0.200    0.200 {method '__setstate__' of 'tokenizers.Tokenizer' objects}
        8    0.000    0.000    0.184    0.023 __init__.py:304(loads)
        8    0.000    0.000    0.184    0.023 decoder.py:340(decode)
        8    0.184    0.023    0.184    0.023 decoder.py:351(raw_decode)
        3    0.000    0.000    0.132    0.044 tokenization_utils_tokenizers.py:570(get_vocab)
        3    0.132    0.044    0.132    0.044 {method 'get_vocab' of 'tokenizers.Tokenizer' objects}
       52    0.000    0.000    0.116    0.002 generate.py:384(_model_call)
       52    0.000    0.000    0.116    0.002 qwen3_5.py:367(__call__)
       52    0.000    0.000    0.116    0.002 qwen3_5.py:280(__call__)
       52    0.001    0.000    0.116    0.002 qwen3_5.py:247(__call__)
     2080    0.005    0.000    0.114    0.000 qwen3_5.py:221(__call__)
       51    0.001    0.000    0.114    0.002 generate.py:392(_step)
       11    0.078    0.007    0.104    0.009 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.096    0.096 tokenizer_utils.py:372(detokenizer)
        1    0.008    0.008    0.096    0.096 tokenizer_utils.py:165(__init__)
  819/814    0.000    0.000    0.088    0.000 {built-in method builtins.getattr}
       56    0.000    0.000    0.087    0.002 tokenizer_utils.py:379(__getattr__)
        2    0.000    0.000    0.087    0.044 tokenization_utils_tokenizers.py:573(vocab)
     1560    0.018    0.000    0.052    0.000 qwen3_5.py:132(__call__)
       40    0.049    0.001    0.049    0.001 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.045    0.045 tokenizer_utils.py:263(__init__)
     2080    0.015    0.000    0.043    0.000 qwen3_next.py:327(__call__)
       11    0.000    0.000    0.026    0.002 <frozen codecs>:322(decode)
       11    0.026    0.002    0.026    0.002 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.026    0.026 utils.py:336(_quantize)
        1    0.000    0.000    0.026    0.026 quantized.py:22(quantize)
     1560    0.003    0.000    0.020    0.000 gated_delta.py:260(gated_delta_update)
